CustomerID,Name,Region,JoinDate,LastPurchaseDate,EmailOptIn
1051,Amy Nguyen,Central,2024-02-13,2025-06-23,no
1052,Brandon Hinton,South-West,2022-11-10,2025-04-01,yes
1053,Benjamin Cline,East,2022-01-25,2023-12-28,yes
1054,Laura Mcdonald,South,2022-12-03,2024-02-22,no
1055,William Benitez,East,2020-11-04,2025-04-05,yes
1056,Kristina Wilson,East,2023-05-15,2024-05-21,yes
1057,Kathy Hall,North,2023-10-27,2024-04-03,no
1058,Steven Jackson,Central,2020-06-26,2024-09-19,yes
1059,Steve Massey,West,2020-08-06,2024-01-02,yes
1060,Mr. Christopher Thompson,South,2023-04-10,2025-08-16,no
1061,Taylor Kaufman,North,2021-07-23,2024-01-29,no
1062,Ashley Harmon,South,2024-02-13,2024-04-08,yes
1063,Howard Case,South-West,2021-02-15,2023-11-30,yes
1064,Joshua Cline,East,2024-02-19,2024-04-22,no
1065,Daniel Adams,Central,2023-07-02,2023-10-20,yes
1066,Derrick Myers,North,2022-04-06,2024-07-24,yes
1067,Lawrence Pearson,East,2023-04-29,2024-04-23,yes
1068,Melissa Gutierrez,East,2023-12-25,2024-08-25,no
1069,Virginia Warren,North,2023-08-24,2025-07-04,yes
1070,Brittany Johnson,East,2021-06-04,2023-08-02,no
1071,Christopher Frost,East,2020-08-21,2024-02-11,yes
1072,Shannon Schmitt,East,2022-08-23,2023-12-19,no
1073,Matthew Clark,Central,2023-08-21,2025-01-15,no
1074,Alyssa Evans,West,2021-10-27,2023-09-07,yes
1075,Joseph Chavez,North,2023-01-01,2024-04-20,yes
1076,Glenn Shelton,East,2024-05-01,2024-08-24,no
1077,Amy Espinoza,North,2021-05-29,2024-04-19,no
1078,Danielle Fuller,South-West,2023-12-08,2025-04-23,yes
1079,Zachary Thompson MD,East,2022-09-05,2025-08-23,yes
1080,Thomas Parker,South-West,2023-02-28,2025-07-20,no
1081,Ryan White,South,2020-09-04,2024-05-07,no
1082,Connor Martin,Central,2023-01-05,2024-01-10,yes
1083,Jacqueline Bishop,South,2020-06-05,2022-06-29,no
1084,Martha Mccall,North,2022-05-31,2022-12-09,no
1085,Steven Wright,Central,2021-08-22,2024-08-29,yes
1086,Robert Rodriguez,East,2023-03-01,2023-10-30,yes
1087,Carla Tran,East,2020-07-22,2024-10-02,yes
1088,Lindsay Torres,East,2021-12-30,2025-10-20,no
1089,Matthew Hernandez,North,2023-04-12,2024-11-20,no
1090,Nicholas Dunlap,South,2020-10-11,2021-01-08,no
1091,Brianna Thomas,South-West,2023-05-23,2025-10-11,yes
1092,Timothy Hill,West,2023-09-07,2025-03-21,yes
1093,Christian Medina,East,2023-02-04,2025-07-16,no
1094,Robert Jones,West,2023-11-18,2025-05-03,no
1095,Dr. Jason Scott,South,2021-04-07,2022-06-11,yes
1096,Patricia Rogers,South,2024-01-10,2024-10-10,no
1097,Laura Jones,East,2023-12-07,2024-08-03,no
1098,Jeffrey Maxwell,West,2022-01-27,2022-02-27,yes
1099,Lori Howard,East,2021-02-27,2022-10-30,yes
1100,Michael Simon,East,2020-12-27,2025-10-23,yes
1101,Ryan Martin,South-West,2020-11-14,2024-09-26,yes
1102,Robert Hansen,Central,2022-11-19,2024-08-24,yes
1103,Megan Chandler,East,2023-06-25,2025-04-12,yes
1104,David Herrera,West,2021-04-01,2022-10-10,no
1105,Taylor Clarke,Central,2023-03-11,2024-05-18,yes
1106,Jennifer Ewing,East,2023-05-16,2025-04-01,yes
1107,Emily Hoffman,West,2023-06-09,2024-03-27,yes
1108,Sharon Bautista,Central,2022-07-31,2023-08-31,yes
1109,Aaron Garcia,East,2023-07-31,2025-08-24,no
1110,Melissa Grimes,South,2024-03-14,2024-04-07,yes
1111,Ronald Chavez,South-West,2021-06-24,2024-12-28,yes
1112,Joseph Flores,East,2021-04-03,2022-10-12,yes
1113,Louis Jones,Central,2021-07-04,2024-11-11,yes
1114,Grace Price,South,2022-03-25,2022-07-27,no
1115,Gina Banks,West,2023-09-16,2024-01-08,yes
1116,Melissa Rivera,Central,2021-10-25,2025-02-07,no
1117,Amanda Lang,North,2024-04-14,2024-10-21,no
1118,Briana Alvarado,South,2022-03-18,2024-12-25,no
1119,Cameron Hernandez,East,2022-08-08,2024-03-31,yes
1120,Daniel Meyer,South,2024-03-15,2024-05-07,no
1121,Stephanie Garrison,East,2020-08-21,2024-11-25,no
1122,Christopher Martinez,East,2021-10-07,2025-01-29,no
1123,Colleen Greene,South-West,2022-08-21,2024-01-28,no
1124,Megan Novak,East,2022-12-19,2024-09-18,yes
1125,Debbie Andrews,West,2021-05-22,2024-05-03,yes
1126,Lee Luna,East,2021-01-19,2023-02-22,no
1127,George Edwards,Central,2023-05-12,2023-07-16,no
1128,Vincent Day,North,2022-07-03,2023-04-26,no
1129,Karina Jones,East,2023-11-05,2024-04-04,yes
1130,Mary Sandoval,North,2020-10-06,2024-03-18,yes
1131,Mark Gomez,West,2020-06-11,2023-04-09,no
1132,Scott Winters,West,2022-09-20,2023-12-05,no
1133,Victor Wagner,South-West,2021-06-12,2025-04-19,no
1134,Joseph Aguilar,West,2023-12-05,2024-05-04,no
1135,Christopher Chen,South,2023-09-10,2024-06-14,no
1136,Scott Hernandez,South,2024-02-09,2025-03-09,no
1137,Jessica Harmon,South-West,2022-11-05,2023-11-07,no
1138,Bonnie Stewart,South,2022-04-19,2022-07-03,yes
1139,Heather Olson,Central,2021-04-20,2025-03-29,yes
1140,Carla Flores,East,2020-09-30,2025-07-16,no
1141,David Palmer,North,2022-09-16,2022-10-29,no
1142,Marvin Hamilton,North,2022-04-23,2025-05-03,no
1143,Miss Chelsea Castro DDS,Central,2021-02-23,2024-09-01,no
1144,Brian Browning,East,2023-05-03,2023-10-04,no
1145,Stephanie Powell,East,2023-02-03,2024-12-14,yes
1146,Jonathan Andrade,South-West,2020-06-07,2025-06-13,no
1147,William Palmer,South-West,2023-08-14,2025-05-12,yes
1148,Dean Allison,West,2021-06-23,2021-08-18,no
1149,Jordan Elliott,North,2020-05-13,2020-11-15,yes
1150,Bobby Hunter,North,2020-12-06,2025-04-27,yes
1151,Sabrina Lester,West,2022-07-16,2024-03-20,yes
1152,Thomas Garcia,East,2022-09-14,2025-10-09,yes
1153,Michelle Martinez,East,2023-07-31,2024-04-01,yes
1154,Edward Castillo,North,2020-10-01,2021-06-23,yes
1155,Rachel Goodman,North,2023-04-10,2024-11-17,no
1156,Dennis Acevedo,East,2023-06-18,2025-01-27,no
1157,Cheryl Wu,West,2021-12-10,2022-02-12,no
1158,Kelly Gallagher,East,2024-03-02,2024-03-02,yes
1159,Kelli Smith,North,2022-01-28,2024-08-31,no
1160,Phillip Soto,West,2023-04-21,2023-07-10,no
1161,David Ellis,East,2023-01-02,2023-01-02,no
1162,Deborah Rice,East,2022-01-14,2022-10-30,yes
1163,Elizabeth Vaughn,West,2023-05-01,2023-07-01,no
1164,William Ramsey,North,2023-05-04,2025-08-18,no
1165,Richard Burnett,Central,2022-07-24,2024-09-02,yes
1166,David Mccullough,South-West,2021-12-15,2021-12-15,no
1167,Terry Frederick,North,2021-12-20,2022-05-02,no
1168,Denise Gonzales,South,2022-05-02,2025-08-25,no
1169,Michael Edwards,South-West,2023-09-26,2025-01-11,yes
1170,Eric Davis,North,2023-10-15,2024-02-01,no
1171,Ronald Marquez,South-West,2024-04-21,2024-04-21,yes
1172,Eric Barr,East,2023-02-01,2024-08-31,no
1173,David King MD,North,2022-09-14,2025-05-16,no
1174,Deborah Saunders,West,2021-12-25,2025-10-09,no
1175,Teresa Lopez,West,2021-10-20,2023-11-22,yes
1176,Ashley Williams,East,2021-11-24,2022-07-26,no
1177,Katherine West,East,2020-11-01,2020-11-01,no
1178,Katherine Kerr,East,2020-11-13,2024-09-25,no
1179,Desiree Miller,East,2021-12-21,2024-06-06,no
1180,Jennifer Smith,South-West,2020-10-03,2024-04-02,no
1181,Tiffany Smith,East,2024-04-07,2025-07-13,yes
1182,James Gray,West,2020-07-24,2020-10-21,no
1183,Kenneth Graves,East,2020-05-08,2025-10-27,yes
1184,Brittney Chen,East,2023-07-20,2025-06-10,yes
1185,Cameron Levine,East,2021-07-26,2023-05-29,yes
1186,Timothy Williams,West,2021-09-28,2024-06-05,yes
1187,Kayla Solomon,North,2022-06-10,2023-12-14,yes
1188,Ashley Todd,North,2023-09-04,2025-05-03,no
1189,Jennifer Farrell,North,2022-11-18,2024-11-22,no
1190,Elizabeth Robinson,South-West,2023-12-27,2025-02-02,no
1191,Kyle Smith Jr.,South,2023-10-31,2024-10-14,no
1192,Gregory Medina,East,2020-06-06,2023-01-21,no
1193,Nancy King,South,2022-05-23,2025-01-22,no
1194,Casey Brown,Central,2024-02-09,2025-10-31,no
1195,Michael Lee,South-West,2023-08-22,2025-05-22,yes
1196,Dr. Elizabeth Johnston DDS,North,2022-02-09,2022-05-16,yes
1197,William Wilson,West,2023-04-04,2024-11-14,no
1198,Chris Allen,South-West,2022-10-11,2023-08-06,no
1199,James Cooley,West,2020-07-23,2024-02-09,yes
